記入者名,部門/チーム,職業/役職,ペインポイント（日常業務の課題）,解決したいタスク,希望するスキル名（任意）,出力形式の希望,優先度,備考
高橋健一,法務サービス部,行政書士,医療・介護系の許可申請が複雑で時間がかかる,薬局開設許可・介護事業所指定申請の自動化,medical-license-generator,Word/PDF,高,医療法人設立も含めたい
高橋健一,法務サービス部,行政書士,運送業許可の要件確認と書類作成が煩雑,一般貨物自動車運送事業許可申請の効率化,transport-license-generator,PDF/Excel,高,車両・営業所要件の自動チェック機能希望
高橋健一,法務サービス部,行政書士,産廃業許可は都道府県別で様式が異なり管理が大変,産業廃棄物処理業許可申請の標準化,environment-permit-generator,PDF,中,マニフェスト管理機能も欲しい
高橋健一,法務サービス部,行政書士,相続人調査と財産目録作成に膨大な時間を要する,遺産分割協議書の作成支援と相続手続き管理,inheritance-division-assistant,Word/PDF,高,相続関係説明図の自動生成機能付き
高橋健一,法務サービス部,行政書士,遺言書の法的要件チェックが難しく不備が心配,自筆証書遺言・公正証書遺言の作成支援,will-drafting-assistant,Word,高,遺言執行者の選任書類も作成したい
高橋健一,法務サービス部,行政書士,在留資格申請は頻繁な法改正で最新情報の把握が困難,就労ビザ・配偶者ビザ等の申請書類作成,visa-application-manager,PDF/入管システム連携,高,在留期間更新・変更申請にも対応
高橋健一,法務サービス部,行政書士,帰化申請は必要書類が多く要件確認が複雑,帰化許可申請の要件チェックと書類作成,naturalization-assistant,Word/PDF,中,動機書のテンプレートと翻訳支援機能
高橋健一,法務サービス部,行政書士,車庫証明申請で管轄警察署ごとの違いに対応が大変,車庫証明申請書の自動作成と地図作成,parking-certificate-generator,PDF,中,配置図・保管場所の地図自動生成
高橋健一,法務サービス部,行政書士,農地転用は農業委員会との調整が多く手続きが煩雑,農地法3条・4条・5条許可申請の効率化,farmland-conversion-assistant,Word/PDF,低,転用計画図面のテンプレート付き
高橋健一,法務サービス部,行政書士,複数案件の期限管理が難しく申請期限を逃すリスク,全案件の進捗・期限を一元管理,deadline-tracking-calendar,Web/カレンダー連携,高,自動リマインダーとクライアント通知機能
高橋健一,法務サービス部,行政書士,報酬計算が案件ごとに異なり見積作成に時間がかかる,業務別報酬の自動計算と請求書作成,fee-calculation-tool,Excel/PDF,中,日行連の報酬額統計に基づく相場表示
高橋健一,法務サービス部,行政書士,法改正情報の収集と既存書類への反映が追いつかない,関連法令の改正情報収集と影響分析,legal-update-monitor,メール通知/レポート,高,改正内容の要約とアクション提案機能